序號,班級,學號,姓名,GitHub 帳號,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
101,電資資安,112C53765,騩雱蹵,38r1pgf5y8,0,4,2,7,4,1,5,0,3,6
102,資工所,111598506,渞玥鏖,kq64quqa4p,4,8,5,1,1,9,0,2,9,8
103,資工所,111598372,詋咗蕣,avwn1w51b,4,8,1,3,3,5,1,9,0,4
104,資工系,112590412,鈢鍩鵾,fsbu06ynty,1,7,0,9,3,0,1,1,0,3
105,資工系,112590727,腈刦泳,tws4pfi3e4,0,5,1,7,8,5,6,7,8,2
106,電資資安,112C53066,殩星寇,ixubuk92fg,8,0,9,5,1,5,4,8,6,9
107,電資資安,111C53414,撬內壉,l7yousyjew,8,8,5,2,7,6,0,0,2,1
108,電資AI,112C52053,縑跑揬,zbdpwop4ov,2,2,6,1,4,9,1,2,4,8
109,電資AI,112C52228,膀網拧,phf3hrg2fx,7,0,1,7,5,7,4,9,2,4
110,資工系,111590287,脸髴鯵,gwi4rh6oxn,2,8,2,7,7,2,8,6,7,3
111,資工所,112598822,雷蟩寧,z961gh0g1o,4,6,8,8,0,5,6,2,9,9
112,電資資安,111C53955,丟橪茭,mmic9jv4fk,5,1,0,7,6,0,0,6,8,5
113,電資資安,112C53162,豮靲醴,70fw08ygmc,9,8,2,2,7,9,6,3,4,7
114,資工所,111598238,顛绽媌,dh22zx9npj,3,7,5,0,2,7,1,5,9,7
115,電資AI,112C52244,轭稅殇,htfs55dto4,6,4,4,4,2,0,9,7,2,9
116,資工系,111590311,洆艠囱,rumf9edkte,7,0,8,6,4,9,9,7,6,0
117,資工所,111598906,硨鳸公,s1djha5v4n,7,8,3,3,4,8,3,2,2,2
118,電資AI,111C52777,赤攕奶,zfchx99qx9g,5,3,9,0,4,0,7,9,4,1
119,資工系,112590492,瘤駇愷,hvytu4u709,4,1,7,4,0,3,6,0,4,2
120,資工系,112590225,顕骚立,g0hyi1jl83,2,8,7,9,7,8,8,2,0,4
